Italiaans,Nederlands
loro vanno,zij gaan
io vedo,ik zie
tu vedi,jij ziet
lui/lei vede,hij/zij ziet
noi vediamo,wij zien
voi vedete,jullie zien
loro vedono,zij zien
io compro,ik koop
tu compri,jij koopt
lui/lei compra,hij/zij koopt
noi compriamo,wij kopen
voi comprate,jullie kopen
loro comprano,zij kopen
io trovo,ik vind
tu trovi,jij vindt
lui/lei trova,hij/zij vindt
noi troviamo,wij vinden
voi trovate,jullie vinden
loro trovano,zij vinden
io studio,ik studeer
tu studi,jij studeert
lui/lei studia,hij/zij studeert
noi studiamo,wij studeren
voi studiate,jullie studeren
loro studiano,zij studeren
io lavoro,ik werk
tu lavori,jij werkt
lui/lei lavora,hij/zij werkt
noi lavoriamo,wij werken
voi lavorate,jullie werken
loro lavorano,zij werken
io apro,ik open
tu apri,jij opent
lui/lei apre,hij/zij opent
noi apriamo,wij openen
voi aprite,jullie openen
loro aprono,zij openen
il libro,het boek
la casa,het huis
la scuola,de school
il tavolo,de tafel
la porta,de deur
la finestra,het raam
la strada,de straat
la città,de stad
il lavoro,het werk
il mare,de zee
il sole,de zon
la luna,de maan
il tempo,de tijd
il giorno,de dag
la notte,de nacht
il bambino,het kind
l'uomo,de man
la donna,de vrouw
l'amico,de vriend
l'amica,de vriendin
grande,groot
piccolo,klein
bello,mooi
brutto,lelijk
buono,goed/lekker
cattivo,slecht
nuovo,nieuw
vecchio,oud
giovane,jong
felice,gelukkig
triste,verdrietig
facile,makkelijk
difficile,moeilijk
veloce,snel
lento,langzaam
io parlo,ik spreek
tu parli,jij spreekt
lui/lei parla,hij/zij spreekt
noi parliamo,wij spreken
voi parlate,jullie spreken
loro parlano,zij spreken
io mangio,ik eet
tu mangi,jij eet
lui/lei mangia,hij/zij eet
noi mangiamo,wij eten
voi mangiate,jullie eten
loro mangiano,zij eten
io bevo,ik drink
tu bevi,jij drinkt
lui/lei beve,hij/zij drinkt
noi beviamo,wij drinken
voi bevete,jullie drinken
loro bevono,zij drinken
io vado,ik ga
tu vai,jij gaat
lui/lei va,hij/zij gaat
noi andiamo,wij gaan
voi andate,jullie gaan
loro vanno,zij gaan
io vedo,ik zie
tu vedi,jij ziet
lui/lei vede,hij/zij ziet
noi vediamo,wij zien
voi vedete,jullie zien
loro vedono,zij zien
io compro,ik koop
tu compri,jij koopt
lui/lei compra,hij/zij koopt
noi compriamo,wij kopen
voi comprate,jullie kopen
loro comprano,zij kopen
io trovo,ik vind
tu trovi,jij vindt
lui/lei trova,hij/zij vindt
noi troviamo,wij vinden
voi trovate,jullie vinden
loro trovano,zij vinden
io studio,ik studeer
tu studi,jij studeert
lui/lei studia,hij/zij studeert
noi studiamo,wij studeren
voi studiate,jullie studeren
loro studiano,zij studeren
io lavoro,ik werk
tu lavori,jij werkt
lui/lei lavora,hij/zij werkt
noi lavoriamo,wij werken
voi lavorate,jullie werken
loro lavorano,zij werken
io apro,ik open
tu apri,jij opent
lui/lei apre,hij/zij opent
noi apriamo,wij openen
voi aprite,jullie openen
loro aprono,zij openen
il libro,het boek
la casa,het huis
la scuola,de school
il tavolo,de tafel
la porta,de deur
la finestra,het raam
la strada,de straat
la città,de stad
il lavoro,het werk
il mare,de zee
il sole,de zon
la luna,de maan
il tempo,de tijd
il giorno,de dag
la notte,de nacht
il bambino,het kind
l'uomo,de man
la donna,de vrouw
l'amico,de vriend
l'amica,de vriendin
grande,groot
piccolo,klein
bello,mooi
brutto,lelijk
buono,goed/lekker
cattivo,slecht
nuovo,nieuw
vecchio,oud
giovane,jong
felice,gelukkig
triste,verdrietig
facile,makkelijk
difficile,moeilijk
veloce,snel
lento,langzaam
io parlo,ik spreek
tu parli,jij spreekt
lui/lei parla,hij/zij spreekt
noi parliamo,wij spreken
voi parlate,jullie spreken
loro parlano,zij spreken
io mangio,ik eet
tu mangi,jij eet
lui/lei mangia,hij/zij eet
noi mangiamo,wij eten
voi mangiate,jullie eten
loro mangiano,zij eten
io bevo,ik drink
tu bevi,jij drinkt
lui/lei beve,hij/zij drinkt
noi beviamo,wij drinken
voi bevete,jullie drinken
loro bevono,zij drinken
io vado,ik ga
tu vai,jij gaat
lui/lei va,hij/zij gaat
noi andiamo,wij gaan
voi andate,jullie gaan
loro vanno,zij gaan
io vedo,ik zie
